Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
0,"Use date you 
tested on
2/19/2024",Login/UI/Game/Main Page,"Type the bug or user case to note here
ex bug: clicking exit doesn't exit
ex user case: timers take too long",What you expect to happen,What actually happened,yes/no,Yes/no,"Your name
ex: Kevin Chaja"
1,3/11/2024,UI,Back Button doesn't work on Adventure Select Screen,Return to Main menu or to previous menu,Doesn't do anything,yes,yes,Jaztin Tabunda
2,3/11/2024,UI,Home Button doesn't work on Adventure Select Screen,Return to Main menu,Doesn't do anything,yes,yes,Jaztin Tabunda
3,3/11/2024,UI,"Mana ""+"" Button doesn't work on Adventure Select Screen",Possible store screen to buy Mana,Doesn't do anything,yes,no,Jaztin Tabunda
4,3/11/2024,UI,Mission Name on Adventure Select Screen doesn't change,"When Selecting a Mission, the mission name should change","""Mission Name..."" shows instead of actual mission name",yes,no,Jaztin Tabunda
5,3/11/2024,UI,Play Button on Adventure Select Screen doesn't work,Should get me into a game,Doesn't do anything,yes,yes,Jaztin Tabunda
6,3/11/2024,UI,In-Game Sound slider settings still don't work,Sound should go lower or higher,Doesn't change sound still,yes,no,Jaztin Tabunda
7,3/11/2024,Game,User case: Game card deck RNG seems unfair,Constance Mix of Spell/Trap and Monster cards,Opponent or User constantly gets spell/trap cards,yes,no,Jaztin Tabunda
8,3/11/2024,Game,User case: I don't feel the money/coin restriction in battle,I shouldn't have enough money at the start to summon 4 monsters from my deck,I could summon 4 monsters and overpower opponent easily,yes,no,Jaztin Tabunda
9,3/11/2024,Game,Battles sometimes don't load in Arena,Load into AI Battle in Arena,Stuck in Battle but no cards load,yes,yes,Jaztin Tabunda
